"idno","district","gndr","agea","edu","wkhtot","income","stfdem","stfeco","trstprl","trstprt","trstplt","trstlgl","lrscale"
10000,"Distrikt 1","male",41,"ES-ISCED IV",34,"7th decile",7,6,3,5,4,6,4
10001,"Distrikt 1","male",65,"ES-ISCED II",20,"6th decile",8,7,5,5,5,4,3
10002,"Distrikt 1","male",48,"ES-ISCED IV",27,"7th decile",6,6,4,4,6,5,6
10003,"Distrikt 1","female",49,"ES-ISCED V",30,"6th decile",5,4,2,7,4,3,6
10004,"Distrikt 1","female",48,"ES-ISCED IV",29,"5th decile",4,5,6,6,6,6,2
10005,"Distrikt 1","female",64,"ES-ISCED V",30,"6th decile",6,6,1,3,2,4,7
10006,"Distrikt 1","male",63,"ES-ISCED III",37,"7th decile",4,5,5,4,4,5,6
10007,"Distrikt 1","female",70,"ES-ISCED III",31,"6th decile",10,7,4,6,6,4,3
10008,"Distrikt 1","female",80,"ES-ISCED II",43,"3rd decile",1,3,2,5,3,9,4
10009,"Distrikt 1","male",57,"ES-ISCED III",32,"7th decile",2,4,6,6,5,2,4
10010,"Distrikt 1","male",62,"ES-ISCED III",38,"6th decile",2,6,5,8,3,7,4
10011,"Distrikt 1","male",50,"ES-ISCED IV",34,"6th decile",8,8,5,7,5,4,4
10012,"Distrikt 1","female",60,"ES-ISCED III",27,"5th decile",0,3,4,6,5,4,4
10013,"Distrikt 1","male",65,"ES-ISCED III",27,"7th decile",3,4,3,5,5,5,5
10014,"Distrikt 1","female",46,"ES-ISCED V",36,"5th decile",6,3,5,8,5,6,3
10015,"Distrikt 1","female",62,"ES-ISCED III",37,"5th decile",7,5,3,5,5,4,2
10016,"Distrikt 1","female",61,"ES-ISCED IV",29,"5th decile",4,3,4,4,3,2,5
10017,"Distrikt 1","male",64,"ES-ISCED III",29,"7th decile",5,7,6,6,6,7,8
10018,"Distrikt 1","male",73,"ES-ISCED II",37,"6th decile",4,5,4,4,6,0,5
10019,"Distrikt 1","female",51,"ES-ISCED IV",29,"7th decile",5,7,8,3,5,6,4
10020,"Distrikt 1","male",52,"ES-ISCED IV",32,"7th decile",4,5,2,4,7,2,6
10021,"Distrikt 1","female",45,"ES-ISCED V",36,"6th decile",5,3,8,6,7,6,5
10022,"Distrikt 1","male",45,"ES-ISCED V",16,"9th decile",8,7,4,4,2,6,5
10023,"Distrikt 1","male",69,"ES-ISCED IV",37,"7th decile",4,3,3,6,2,9,5
10024,"Distrikt 1","female",67,"ES-ISCED III",47,"4th decile",5,8,3,4,4,3,7
10025,"Distrikt 1","male",60,"ES-ISCED IV",24,"9th decile",5,4,7,5,3,6,7
10026,"Distrikt 1","female",63,"ES-ISCED III",31,"4th decile",5,6,8,NA,6,8,0
10027,"Distrikt 1","male",55,"ES-ISCED IV",31,"7th decile",5,5,5,8,6,5,3
10028,"Distrikt 1","male",62,"ES-ISCED III",32,"7th decile",5,5,7,9,7,8,5
10029,"Distrikt 1","female",69,"ES-ISCED II",33,"4th decile",6,5,3,4,3,5,5
10030,"Distrikt 1","male",54,"ES-ISCED IV",43,"7th decile",2,3,3,5,6,6,6
10031,"Distrikt 1","female",58,"ES-ISCED III",16,"3rd decile",2,2,2,2,6,6,3
10032,"Distrikt 1","female",53,"ES-ISCED IV",40,"4th decile",9,7,2,4,4,5,5
10033,"Distrikt 1","male",45,"ES-ISCED IV",10,"9th decile",1,4,3,4,3,6,7
10034,"Distrikt 1","male",56,"ES-ISCED III",47,"5th decile",3,2,1,4,6,1,6
10035,"Distrikt 1","female",64,"ES-ISCED III",37,"5th decile",5,6,3,5,5,4,7
10036,"Distrikt 1","female",58,"ES-ISCED IV",30,"5th decile",4,5,5,3,6,3,8
10037,"Distrikt 1","female",64,"ES-ISCED III",51,"3rd decile",4,4,6,4,5,4,10
10038,"Distrikt 1","male",70,"ES-ISCED III",31,"7th decile",3,2,7,8,6,5,2
10039,"Distrikt 1","female",49,"ES-ISCED IV",31,"6th decile",5,7,3,5,5,3,4
10040,"Distrikt 1","male",36,"ES-ISCED IV",29,"7th decile",5,5,8,10,5,8,4
10041,"Distrikt 1","female",75,"ES-ISCED III",32,"5th decile",7,7,2,4,3,1,6
10042,"Distrikt 1","male",76,"ES-ISCED III",29,"7th decile",3,5,0,3,4,5,9
10043,"Distrikt 1","male",69,"ES-ISCED II",30,"6th decile",5,7,2,8,7,5,6
10044,"Distrikt 1","male",62,"ES-ISCED III",30,"7th decile",6,4,9,6,7,6,4
10045,"Distrikt 1","male",82,"ES-ISCED III",37,"6th decile",4,5,NA,4,5,8,6
10046,"Distrikt 1","female",60,"ES-ISCED III",34,"4th decile",0,2,6,5,2,5,6
10047,"Distrikt 1","female",62,"ES-ISCED IV",45,"4th decile",4,5,5,6,3,2,5
10048,"Distrikt 1","female",51,"ES-ISCED V",32,"6th decile",5,5,6,4,7,6,7
10049,"Distrikt 1","female",65,"ES-ISCED II",30,"4th decile",5,7,6,5,6,7,7
10050,"Distrikt 1","female",47,"ES-ISCED IV",30,"5th decile",5,2,2,5,7,4,5
10051,"Distrikt 1","female",57,"ES-ISCED III",21,"5th decile",4,5,5,6,2,4,3
10052,"Distrikt 1","male",42,"ES-ISCED IV",27,"9th decile",3,5,5,4,5,5,5
10053,"Distrikt 1","female",47,"ES-ISCED III",38,"5th decile",5,5,4,3,0,5,2
10054,"Distrikt 1","female",43,"ES-ISCED III",42,"2nd decile",10,6,8,5,7,4,3
10055,"Distrikt 1","female",80,"ES-ISCED II",41,"3rd decile",3,4,4,3,2,3,4
10056,"Distrikt 1","female",66,"ES-ISCED III",46,"4th decile",7,7,2,5,6,4,7
10057,"Distrikt 1","female",52,"ES-ISCED IV",30,"5th decile",1,3,4,4,7,7,10
10058,"Distrikt 1","male",53,"ES-ISCED III",31,"6th decile",4,6,2,1,3,2,3
10059,"Distrikt 1","male",48,"ES-ISCED IV",40,"5th decile",0,1,3,3,7,4,4
10060,"Distrikt 1","female",56,"ES-ISCED II",41,"3rd decile",4,4,4,5,4,5,6
10061,"Distrikt 1","male",64,"ES-ISCED III",36,"6th decile",5,5,4,4,6,3,2
10062,"Distrikt 1","female",54,"ES-ISCED IV",27,"5th decile",7,8,4,5,4,6,4
10063,"Distrikt 1","male",75,"ES-ISCED II",26,"7th decile",6,4,5,6,6,4,8
10064,"Distrikt 1","female",46,"ES-ISCED IV",38,"4th decile",6,6,3,4,3,2,3
10065,"Distrikt 1","male",49,"ES-ISCED III",27,"7th decile",3,6,7,6,6,6,4
10066,"Distrikt 1","female",85,"ES-ISCED IV",24,"5th decile",4,5,0,2,7,6,8
10067,"Distrikt 1","male",54,"ES-ISCED V",43,"9th decile",4,3,8,7,6,6,5
10068,"Distrikt 1","female",38,"ES-ISCED IV",31,"5th decile",2,6,6,7,9,8,6
10069,"Distrikt 1","female",46,"ES-ISCED IV",32,"5th decile",7,6,7,6,6,3,3
10070,"Distrikt 1","female",57,"ES-ISCED III",32,"3rd decile",1,3,NA,3,1,2,8
10071,"Distrikt 1","male",59,"ES-ISCED III",45,"4th decile",6,6,3,5,3,5,5
10072,"Distrikt 1","male",52,"ES-ISCED IV",8,"9th decile",2,5,3,1,4,2,7
10073,"Distrikt 1","male",38,"ES-ISCED V",29,"10th decile",5,6,3,5,5,4,3
